Models,Return
382,69.40662800713973
383,211.75152143657434
384,323.2752960674685
385,191.34822977402865
386,33.30083237191926
387,261.0635081280351
388,173.97039098797262
389,93.65687286019778
390,390.1647587440903
391,381.81969176658004
392,80.82440247916989
393,155.8387231729613
394,184.94732719247435
395,254.83012986917726
396,134.3184091455575
397,114.32441518710675
398,314.5635826119415
399,142.45900843957588
400,126.55074143211296
401,58.65709029271376
402,304.9670229766556
403,249.20893166597506
404,218.3025691117825
405,287.01982119750267
406,227.834303363962
407,344.99713224907714
408,386.2984975463942
409,244.38571698137912
410,94.9553817973879
411,180.82977414077595
412,206.57311943231295
413,95.23238225161849
414,192.3239794387147
415,258.3534655903338
416,125.16704589367674
417,177.6964453954522
418,275.30575075172607
419,194.98739481658822
420,51.96483896586538
421,70.85950057103824
422,336.38502657055824
423,383.83365164303905
424,344.10391829637814
425,24.18651681114096
426,160.59708667339697
427,58.99321105966372
428,295.6664338402429
429,363.62446193996055
430,108.60269953165235
431,372.21703965510136
432,181.12628019523993
433,207.06523451618236
434,114.59454801832867
435,141.33652923077037
436,117.91050091867821
437,212.43076060608848
438,233.69739948116703
439,392.48407754006314
440,150.5787711138541
441,289.80758720036
442,105.112446749614
443,234.13639220263678
444,72.71552447324949
445,317.2594673339132
446,358.03650606923975
447,119.5885258430722
448,216.66622615613258
449,35.395402430007444
450,73.34525707714484
451,168.07129794385364
452,267.7012727324607
453,79.4508785277472
454,255.76977094114173
455,238.74599591646606
456,177.51176953762206
457,46.01152107950767
458,66.7247469063874
459,271.86631867416565
460,310.3331672710683
461,39.63326996642137
462,121.74300889138487
463,163.40279759755788
464,173.84281608907222
465,38.808522552321726
466,113.99710587567805
467,342.0605225187484
468,364.6869941735542
469,104.16593192021563
470,142.20142638895484
471,38.78124656194919
472,324.11539609739555
473,225.9806198110225
474,95.10211680465628
475,355.3761399841062
476,306.7284400923961
477,186.19125318468434
478,322.73146814581713
479,167.7138592139836
480,131.18146235373501
481,77.75034789126221
482,335.5261544805933
483,365.97597841871567
484,263.49581217216803
485,119.62414060294833
486,350.11691841175195
487,281.27141836325507
488,174.1460378373714
489,234.87983613485943
490,325.0542161745534
491,323.57276437443863
492,130.57201643203098
493,107.47589821558327
494,229.4739250230354
495,124.89284166805936
496,195.65233534305457
497,309.79567629409917
498,86.00604175951665
499,202.12646255386755
500,35.82565264974946
501,37.88023777121167
502,121.91010575015356
503,364.27477462878295
504,45.88297987895879
505,20.816259328629222
506,289.18167427140804
507,372.40590661521725
508,245.84049901111416
509,174.15437463839774
510,309.2467817362448
511,245.45875822289554
512,42.8746108216027
513,201.62306654702084
514,183.07404723885026
515,122.70330236791577
516,64.80177382463606
517,284.01183782480547
518,86.07567572932052
519,270.1299911388578
520,207.25512224509004
521,232.9144312032326
522,42.93164918596325
523,249.3849364883882
524,21.768305059794876
525,115.38553693698135
526,345.4334304571879
527,51.53497178385376
528,203.5210815402219
529,24.068488554233426
530,251.81860391498844
531,166.74930640240802
532,271.66948575778935
533,330.0510365262025
534,210.3655618842505
535,300.8635000582401
536,292.90414352696587
537,323.21644709591453
538,130.56559719851668
539,347.1600629642156
540,64.67477187277552
541,42.234448565884975
542,134.5163969398897
543,405.351680259089
544,369.2554906754473
545,171.25766127096344
546,101.93534291581189
547,26.502190606301767
548,96.62285749209242
549,298.4671905973633
550,26.365432347650533
551,324.80837330602134
552,152.68653927037647
553,305.74520578484197
554,78.27641716854905
555,92.67823995841539
556,282.86602897481555
557,269.84457291319586
558,103.9491766790419
559,59.78340025426107
560,28.116818751351246
561,175.1488430529434
562,326.5924460657959
563,204.66829673097538
564,347.88246729799556
565,260.4445189754496
566,275.6425968753597
567,71.14668788152416
568,63.31487489975788
569,232.0664282478116
570,100.05248379274033
571,169.69943376942945
